college_name,date,new_cases
Cedar Crest College,2020-08-23,6
Cedar Crest College,2020-08-30,6
Cedar Crest College,2020-09-06,6
Cedar Crest College,2020-09-13,6
Cedar Crest College,2020-09-20,6
Cedar Crest College,2020-09-27,6
Cedar Crest College,2020-10-04,6
Cedar Crest College,2020-10-11,6
Cedar Crest College,2020-10-18,6
Cedar Crest College,2020-10-25,6
Cedar Crest College,2020-11-01,6
Cedar Crest College,2020-11-08,7
DeSales University,2020-08-16,6
DeSales University,2020-08-23,6
DeSales University,2020-08-30,6
DeSales University,2020-09-06,6
DeSales University,2020-09-13,6
DeSales University,2020-09-20,6
DeSales University,2020-09-27,6
DeSales University,2020-10-04,6
DeSales University,2020-10-11,6
DeSales University,2020-10-18,6
DeSales University,2020-10-25,6
DeSales University,2020-11-01,25
DeSales University,2020-11-08,25
Muhlenberg College,2020-08-23,1
Muhlenberg College,2020-08-30,0
Muhlenberg College,2020-09-06,0
Muhlenberg College,2020-09-13,1
Muhlenberg College,2020-09-20,1
Muhlenberg College,2020-09-27,0
Muhlenberg College,2020-10-04,0
Muhlenberg College,2020-10-11,0
Muhlenberg College,2020-10-18,1
Muhlenberg College,2020-10-25,0
Muhlenberg College,2020-11-01,0
Muhlenberg College,2020-11-08,2
Pennsylvania State University Lehigh Valley,2020-08-30,0
Pennsylvania State University Lehigh Valley,2020-09-06,0
Pennsylvania State University Lehigh Valley,2020-09-13,0
Pennsylvania State University Lehigh Valley,2020-09-20,0
Pennsylvania State University Lehigh Valley,2020-09-27,0
Pennsylvania State University Lehigh Valley,2020-10-04,0
Pennsylvania State University Lehigh Valley,2020-10-11,0
Pennsylvania State University Lehigh Valley,2020-10-18,1
Pennsylvania State University Lehigh Valley,2020-10-27,0
Pennsylvania State University Lehigh Valley,2020-11-01,1
Pennsylvania State University Lehigh Valley,2020-11-08,0
Lafayette College,2020-08-16,4
Lafayette College,2020-08-23,1
Lafayette College,2020-08-30,0
Lafayette College,2020-09-06,0
Lafayette College,2020-09-13,0
Lafayette College,2020-09-20,1
Lafayette College,2020-09-27,0
Lafayette College,2020-10-04,0
Lafayette College,2020-10-11,10
Lafayette College,2020-10-18,8
Lafayette College,2020-10-25,1
Lafayette College,2020-11-01,1
Lafayette College,2020-11-08,0
Lehigh University,2020-08-09,2
Lehigh University,2020-08-16,2
Lehigh University,2020-08-23,0
Lehigh University,2020-08-30,3
Lehigh University,2020-09-06,0
Lehigh University,2020-09-13,0
Lehigh University,2020-09-20,2
Lehigh University,2020-09-27,91
Lehigh University,2020-10-04,86
Lehigh University,2020-10-11,38
Lehigh University,2020-10-18,10
Lehigh University,2020-10-25,35
Lehigh University,2020-11-01,5
Lehigh University,2020-11-08,38
Moravian College,2020-08-23,0
Moravian College,2020-08-30,0
Moravian College,2020-09-06,4
Moravian College,2020-09-13,6
Moravian College,2020-09-20,6
Moravian College,2020-09-27,6
Moravian College,2020-10-04,6
Moravian College,2020-10-11,6
Moravian College,2020-10-18,1
Moravian College,2020-11-01,3
Moravian College,2020-11-08,3
